Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size.1,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,Curb weight,Fuel tank capacity,Length,Width,Height,Wheelbase,Front track,Rear track,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,4WD,AWD,FWD,RWD,Diesel,Electric,Flex Fuel,Gas,Hybrid,Rear Disc Brakes,Rear Drum Brakes
1,46300,Acura,MDX,2019,4,7,"Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters, 3-mode integrated dynamics system, Electronic Gear Selector and hill start assist",6.43,22,290,6200,267,4700,6,3.5,4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,4.33,3.83,Strut,Multi-Link,12.6,13,P245/60HR18,P245/60HR18,18,18,8,8,P245/60HR18,Compact,Aluminum,Aluminum,,4239,19.5,196.2,77.7,67.4,111,66.3,66.3,38.7,38.1,41.4,61.1,57.5,38.3,38.5,59.1,57.8,0,1,0,0,0,0,0,1,0,1,0
2,45500,Acura,RDX,2019,4,5,Transmission: 10-Speed Automatic -inc: sequential SportShift paddle shifters,6.48,23,272,6500,280,1600,4,2,5.25,3.27,2.19,1.6,1.3,1,0.78,0.65,4.17,3.97,Strut,Multi-Link,12.4,12.2,P255/45VR20,P255/45VR20,20,20,8,8,P255/45VR20,,Aluminum,Aluminum,,4015,17.1,186.8,74.8,65.7,108.3,64.2,64.7,39,39.6,41.6,59.7,55,38.3,38.4,56.6,49.9,0,1,0,0,0,0,0,1,0,1,0
3,61900,Acura,RLX,2019,4,5,Transmission: 7-Speed Dual Clutch (DCT) -inc: motor integration and Sequential SportShift paddle shifters,4.75,28,377,6500,341,4700,6,3.5,4.4,2.75,2.03,1.55,1.14,0.84,0.62,0.66,3.58,3.66,Double Wishbone,Multi-Link,13,12.2,P245/40WR19,P245/40WR19,19,19,8,8,P245/40WR19,,Aluminum,Aluminum,,4380,15.1,198.1,74.4,57.7,112.2,64.3,64.2,40.5,37.6,42.3,59.6,55.9,36.9,38.8,57,54.5,0,1,0,0,0,0,0,1,0,1,0
4,39400,Acura,TLX,2019,4,5,Transmission: 8-Speed Dual-Clutch,7.26,26,206,6800,182,4500,4,2.4,3.08,2.18,1.61,1.22,0.96,0.74,0.62,0.48,4.57,2.22,Strut,Multi-Link,12.6,12.2,P245/40VR19,P245/40VR19,19,19,8,8,P245/40VR19,,Aluminum,Aluminum,,3580,17.2,191.7,73,57,109.3,62.8,63.1,39.2,37.2,42.6,57.5,55.3,36.7,34.5,55.4,54.9,0,0,1,0,0,0,0,1,0,1,0
5,38900,Audi,A3 Cabriolet,2019,2,4,,6.9,25,186,4400,221,1600,4,2,3.4,2.75,1.77,0.93,0.7,0.76,0.64,0.66,4.77,2.9,Strut,Multi-Link,12.3,10.7,P225/45HR17,P225/45HR17,17,17,7.5,7.5,P225/45HR17,Compact,Aluminum,Aluminum,Steel,3428,13.2,174.1,72.49,55.5,102.2,61.2,60.1,36.1,37.4,41.2,54.8,55.75060644,36.3,31.9,45.7,54.27385965,0,0,1,0,0,0,0,1,0,1,0
6,32500,Audi,A3 Sedan,2019,4,5,,6.6,29,186,4400,221,1600,4,2,3.4,2.75,1.77,0.93,0.7,0.76,0.64,0.66,4.77,2.9,Strut,Multi-Link,12.3,10.7,P225/45HR17,P225/45HR17,17,17,7.5,7.5,P225/45HR17,Compact,Aluminum,Aluminum,Steel,3197,13.2,175.5,70.7,55.7,103.8,61.2,60.1,36.1,39.6,41.2,54.8,55.75060644,36.4,35.1,53,54.27385965,0,0,1,0,0,0,0,1,0,1,0
7,37400,Audi,A4,2019,4,5,Transmission: 7-Speed S tronic,8.55,30,190,4200,236,1450,4,2,3.56,2.53,1.68,1.02,0.79,0.76,0.64,0.66,4.23,2.79,Multi-Link,Multi-Link,12.4,11.8,P225/50HR17,P225/50HR17,17,17,7.5,7.5,P225/50HR17,Compact,Aluminum,Aluminum,Steel,3450,15.3,186.1,72.5,56.2,111,61.9,61.2,38.1,38.9,41.3,55.9,55.75060644,37.4,35.7,54.5,54.27385965,0,0,1,0,0,0,0,1,0,1,0
8,45700,Audi,A4 allroad,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto,5.81,25,252,5000,273,1600,4,2,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,13.3,13,P245/45HR18,P245/45HR18,18,18,7.5,7.5,P245/45HR18,Compact,Aluminum,Aluminum,Steel,3825,15.3,187,72.5,58.8,110.9,62.1,61.7,38.1,39.2,41.3,55.9,55.75060644,37.4,35.7,54.5,54.27385965,0,1,0,0,0,0,0,1,0,1,0
9,44200,Audi,A5,2019,2,4,Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,5.49,27,252,5000,273,1600,4,2,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,13.3,13,P245/40HR18,P245/40HR18,18,18,8.5,8.5,P245/40HR18,Compact,Aluminum,Aluminum,Steel,3549,15.3,184,72.7,54,108.8,62.5,61.7,37.7,39,41.3,55.3,55.75060644,38.00099492,32.7,50.7,54.27385965,0,1,0,0,0,0,0,1,0,1,0
10,52300,Audi,A5 Sportback,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,5.67,27,252,5000,273,1600,4,2,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.27,2.75,Multi-Link,Multi-Link,13.3,13,P245/40HR18,P245/40HR18,18,18,8.5,8.5,P245/40HR18,Compact,Aluminum,Aluminum,Steel,3704,15.3,186.3,72.6,54.6,111.2,62.5,61.7,38.4,39.4,41.3,55.7,55.75060644,38.00099492,35.1,54.5,54.27385965,0,1,0,0,0,0,0,1,0,1,0
11,54100,Audi,A6,2019,4,5,Transmission: 7-Speed Stronic,5,24.29501085,335,5000,369,1370,6,3,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,14.8,13.8,P245/45HR19,P245/45HR19,19,19,8,8,P245/45HR19,Compact,Aluminum,Aluminum,Steel,3613.88,18.46316239,194.5,74.3,57.4,115.1,64.2,63.7,40,39.46846709,42.19028105,57.72763686,55.75060644,38.00099492,36.51998996,56.05663959,54.27385965,0,1,0,0,0,0,0,1,0,1,0
12,68000,Audi,A7,2019,4,5,Transmission: 7-Speed Automatic w/S tronic,5.53,25,335,5000,369,1370,6,3,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,4.41,2.75,Multi-Link,Multi-Link,14.8,13.8,P245/45HR19,P245/45HR19,19,19,8,8,P245/45HR19,Compact,Aluminum,Aluminum,Steel,4001,18.46316239,195.6,75.1,56,115.2,65,64.4,40,39.46846709,42.19028105,57.72763686,55.75060644,38.00099492,36.51998996,56.05663959,54.27385965,0,1,0,0,0,0,0,1,0,1,0
13,83800,Audi,A8 L,2019,4,5,Transmission: 8-Speed Auto w/Tiptronic,5.82,22,335,5000,369,1370,6,3,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.08,3.32,Multi-Link,Multi-Link,15,14,P255/45HR19,P255/45HR19,19,19,9,9,P255/45HR19,Compact,Aluminum,Aluminum,Aluminum,4288,21.7,208.8,76.6,58.6,123.6,64.8,64.3,42.3,41.4,42.19028105,59.1,62.3,39.2,36.51998996,57.6,61.1,0,1,0,0,0,0,0,1,0,1,0
14,42950,Audi,Q5,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto,6.06,24,252,5000,273,1600,4,2,3.19,2.19,1.52,1.06,0.74,0.51,0.39,0.66,5.3,2.75,Multi-Link,Multi-Link,13.3,13,P235/55HR19,P235/55HR19,20,20,8,8,P235/55HR19,Compact,Aluminum,Aluminum,Steel,4045,18.5,183.6,74.5,65.3,111,63.6,63.3,38.4,41.7,40.9,57.7,55.75060644,39.3,37.8,56.5,54.27385965,0,1,0,0,0,0,0,1,0,1,0
15,53550,Audi,Q7,2019,4,7,Transmission: 8-Speed Automatic w/Tiptronic,7.72,21,252,5000,273,1600,4,2,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.5,3.32,Double Wishbone,Multi-Link,14.8,13.8,P255/60HR18,P255/60HR18,18,18,8.5,8.5,P255/60HR18,,Aluminum,Aluminum,,4696,22.5,199.6,77.5,68.5,117.9,66.1,66.6,40.7,38.4,41.7,59.5,55.75060644,38.8,38.8,58.5,54.27385965,0,1,0,0,0,0,0,1,0,1,0
16,67400,Audi,Q8,2019,4,5,Transmission: 8-Speed Automatic w/Tiptronic,5.6,19,335,5000,369,1370,6,3,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.8,3.32,Double Wishbone,Multi-Link,14.8,13.8,P285/40YR22,P285/40YR22,20,20,9,9,P285/40YR22,Compact,Aluminum,Aluminum,Steel,3823.02,18.46316239,187.02,74.05,62.4780897,112.4143709,62.57762002,62.64787538,38.32634877,39.46846709,42.19028105,57.72763686,55.75060644,38.00099492,36.51998996,56.05663959,54.27385965,0,1,0,0,0,0,0,1,0,1,0
